,Dia Disp,Ambient,Ref Temp on Bed,Spindle Rear,Coolantwall,Transfomerbed,Spindle Front,Time
188,63.17,25.9,24.32,32.77,26.07,27.61,31.04,7.329
6,53.272,19.55,19.45,22.42,20.93,20.57,22.32,0.249
143,58.758,26.35,23.21,30.62,25.12,26.38,29.23,5.589
120,42.808,26.51,22.78,28.3,24.65,25.9,27.76,4.699
0,44.096,19.14,19.18,21.14,20.22,20.23,21.15,0.009
162,63.494,26.46,23.78,31.79,25.65,26.95,30.2,6.324
77,69.63,24.22,21.85,29.92,24.23,24.5,28.45,2.992
113,42.93,26.12,22.7,28.43,24.57,25.73,27.81,4.429
65,68.762,23.6,21.45,29.11,23.76,23.84,27.8,2.528
46,68.758,22.28,20.68,27.69,23.02,22.7,26.55,1.794
74,70.202,24.18,21.72,29.71,24.11,24.34,28.3,2.876
92,49.314,25.29,22.32,29.1,24.47,25.23,28.14,3.621
150,60.58,26.22,23.54,31.12,25.31,26.57,29.63,5.86
87,54.208,24.96,22.2,29.37,24.48,25.09,28.25,3.428
187,62.924,25.9,24.31,32.72,26.1,27.56,31.0,7.291
10,56.09,19.86,19.56,23.19,21.2,20.73,22.92,0.403
32,68.018,21.29,20.19,26.29,22.37,21.94,25.39,1.253
136,57.126,26.19,23.06,30.06,24.92,26.13,28.79,5.319
83,61.59,24.61,22.07,29.64,24.45,24.86,28.29,3.274
163,62.662,26.46,23.8,31.84,25.68,26.96,30.23,6.362
100,44.684,25.76,22.5,28.78,24.5,25.48,27.98,3.929
125,47.774,26.32,22.84,28.89,24.57,25.85,28.12,4.894
23,66.128,20.87,19.9,25.23,21.95,21.42,24.5,0.905
126,51.06,26.3,22.86,29.04,24.61,25.93,28.18,4.933
9,56.57,19.79,19.54,22.97,21.14,20.7,22.77,0.365
177,62.684,25.96,24.11,32.41,25.94,27.29,30.75,6.904
104,43.408,25.96,22.54,28.63,24.52,25.56,27.92,4.083
158,62.826,26.39,23.7,31.57,25.53,26.84,30.0,6.169
135,56.268,26.23,23.04,29.95,24.87,26.11,28.71,5.28
111,42.886,26.0,22.65,28.48,24.54,25.7,27.84,4.352
195,64.334,25.87,24.44,32.95,26.17,27.75,31.2,7.6
64,69.92,23.47,21.37,29.06,23.73,23.77,27.75,2.489
15,60.62,20.14,19.68,24.0,21.52,20.96,23.55,0.596
41,70.25,21.95,20.48,27.22,22.79,22.44,26.18,1.6
170,63.008,26.36,23.96,32.15,25.81,27.13,30.52,6.633
109,43.754,26.0,22.63,28.53,24.54,25.7,27.86,4.275
80,68.724,24.21,21.95,30.1,24.36,24.61,28.62,3.108
52,70.158,22.69,20.88,28.17,23.25,23.07,26.97,2.026
26,67.338,21.04,19.97,25.61,22.1,21.57,24.82,1.021
76,69.168,24.18,21.81,29.85,24.2,24.45,28.42,2.953
43,69.014,22.11,20.55,27.4,22.9,22.59,26.35,1.678
24,66.542,20.95,19.94,25.37,22.0,21.51,24.61,0.944
3,52.336,19.38,19.36,21.79,20.69,20.43,21.79,0.133
176,63.32,25.95,24.11,32.38,25.93,27.29,30.71,6.865
49,70.472,22.52,20.79,27.92,23.15,22.92,26.77,1.91
149,61.638,26.27,23.51,31.04,25.29,26.53,29.56,5.821
131,53.978,26.27,22.95,29.57,24.75,26.04,28.45,5.126
197,63.412,25.8,24.45,33.0,26.21,27.77,31.23,7.678
30,68.952,21.2,20.12,26.07,22.29,21.8,25.22,1.176
121,42.888,26.59,22.79,28.31,24.68,25.94,27.78,4.737
115,42.844,26.29,22.71,28.4,24.6,25.79,27.8,4.506
182,64.672,25.85,24.22,32.56,26.03,27.38,30.89,7.097
8,55.342,19.7,19.5,22.79,21.09,20.64,22.62,0.326
60,70.384,23.07,21.18,28.76,23.56,23.52,27.48,2.335
128,53.228,26.2,22.89,29.27,24.62,25.95,28.29,5.01
1,47.422,19.14,19.26,21.35,20.43,20.3,21.31,0.056
57,68.478,22.86,21.06,28.55,23.45,23.37,27.31,2.219
22,65.478,20.73,19.86,25.1,21.9,21.4,24.4,0.867
61,70.544,23.11,21.2,28.81,23.61,23.56,27.56,2.373
63,70.246,23.37,21.34,28.98,23.68,23.73,27.67,2.451
7,53.9,19.61,19.47,22.61,21.0,20.61,22.46,0.288
203,65.072,25.71,24.55,33.11,26.22,27.84,31.31,7.91
141,57.828,26.35,23.17,30.48,25.05,26.32,29.1,5.512
86,55.55,24.78,22.18,29.45,24.47,25.04,28.28,3.39
96,46.204,25.47,22.42,28.9,24.48,25.37,28.05,3.775
68,68.316,23.79,21.57,29.35,23.87,24.0,27.96,2.644
50,70.33,22.57,20.82,28.0,23.17,22.96,26.85,1.948
142,58.584,26.39,23.2,30.56,25.09,26.29,29.18,5.551
157,60.692,26.39,23.69,31.51,25.54,26.79,29.96,6.13
156,60.796,26.4,23.67,31.45,25.48,26.76,29.93,6.092
139,58.182,26.23,23.13,30.32,25.0,26.29,29.0,5.435
146,59.036,26.27,23.3,30.86,25.21,26.45,29.4,5.705
101,44.308,25.8,22.52,28.75,24.5,25.5,27.96,3.967
20,65.818,20.46,19.82,24.81,21.79,21.27,24.17,0.789
178,63.422,26.0,24.15,32.48,25.95,27.3,30.79,6.943
25,66.082,20.98,19.97,25.47,22.04,21.53,24.71,0.982
134,55.7,26.23,23.02,29.89,24.85,26.09,28.67,5.242
71,71.552,24.0,21.67,29.54,23.98,24.17,28.13,2.76
129,53.614,26.19,22.92,29.36,24.68,25.96,28.31,5.048
144,57.782,26.34,23.25,30.72,25.14,26.39,29.29,5.628
192,65.56,25.92,24.38,32.88,26.12,27.7,31.17,7.484
79,68.98,24.26,21.92,30.03,24.3,24.63,28.56,3.069
133,54.862,26.18,23.02,29.79,24.81,26.11,28.6,5.203
137,58.522,26.18,23.1,30.15,24.94,26.17,28.85,5.358
72,71.222,24.03,21.69,29.59,24.03,24.2,28.2,2.798
140,58.474,26.31,23.15,30.42,25.02,26.26,29.05,5.473
37,67.924,21.59,20.37,26.84,22.59,22.25,25.84,1.446
