,Dia Disp,Ambient,Ref Temp on Bed,Spindle Rear,Coolantwall,Transfomerbed,Spindle Front,Time
67,68.852,23.7,21.52,29.27,23.85,23.95,27.89,2.605
14,60.072,20.14,19.63,23.86,21.45,20.93,23.43,0.558
164,62.428,26.46,23.85,31.89,25.7,27.0,30.29,6.401
179,62.486,25.94,24.18,32.47,25.95,27.28,30.79,6.981
19,65.42,20.36,19.79,24.65,21.72,21.2,24.04,0.751
99,44.912,25.68,22.47,28.79,24.48,25.45,28.0,3.89
88,53.208,25.05,22.22,29.3,24.46,25.13,28.22,3.467
39,70.556,21.68,20.42,27.0,22.69,22.36,26.0,1.523
114,42.358,26.23,22.7,28.43,24.6,25.79,27.81,4.468
132,54.368,26.11,22.96,29.68,24.78,26.0,28.53,5.164
56,68.684,22.79,21.0,28.51,23.42,23.28,27.25,2.18
194,65.102,25.88,24.44,32.9,26.18,27.72,31.18,7.562
55,69.702,22.8,20.98,28.37,23.36,23.2,27.17,2.142
93,48.844,25.34,22.35,29.05,24.48,25.29,28.13,3.659
53,69.1,22.7,20.9,28.22,23.3,23.11,27.04,2.064
97,45.702,25.48,22.44,28.88,24.47,25.4,28.04,3.813
145,58.98,26.31,23.27,30.79,25.18,26.46,29.34,5.667
108,42.892,26.04,22.62,28.54,24.54,25.69,27.86,4.237
89,51.99,25.14,22.25,29.26,24.48,25.17,28.21,3.505
42,70.024,22.0,20.52,27.29,22.82,22.52,26.25,1.639
17,65.318,20.23,19.72,24.32,21.6,21.1,23.79,0.674
5,53.474,19.54,19.42,22.2,20.86,20.51,22.15,0.21
152,60.478,26.31,23.59,31.23,25.37,26.67,29.73,5.937
189,62.366,25.94,24.35,32.79,26.1,27.61,31.06,7.368
48,68.45,22.47,20.75,27.86,23.1,22.84,26.69,1.871
167,61.488,26.4,23.89,32.02,25.79,27.11,30.39,6.517
66,69.198,23.59,21.47,29.2,23.81,23.95,27.86,2.567
118,42.692,26.47,22.75,28.34,24.62,25.86,27.79,4.622
54,68.562,22.73,20.95,28.3,23.32,23.17,27.1,2.103
95,48.346,25.46,22.39,28.96,24.48,25.35,28.11,3.736
117,42.76,26.4,22.76,28.36,24.62,25.79,27.79,4.583
98,45.61,25.57,22.45,28.85,24.48,25.44,28.02,3.852
154,60.198,26.36,23.61,31.35,25.43,26.72,29.82,6.015
173,63.35,26.09,24.04,32.25,25.88,27.12,30.61,6.749
174,63.308,26.0,24.05,32.31,25.92,27.22,30.64,6.788
12,59.288,20.0,19.59,23.53,21.36,20.86,23.19,0.481
181,64.528,25.93,24.2,32.56,25.98,27.44,30.86,7.059
106,42.592,26.06,22.59,28.61,24.53,25.63,27.89,4.16
130,53.774,26.22,22.95,29.47,24.7,25.97,28.4,5.087
161,62.424,26.46,23.76,31.71,25.62,26.94,30.14,6.285
102,43.942,25.85,22.53,28.71,24.52,25.51,27.95,4.006
81,65.356,24.29,22.03,29.85,24.4,24.71,28.36,3.197
196,64.44,25.86,24.45,32.95,26.18,27.75,31.2,7.639
148,60.936,26.23,23.46,31.0,25.26,26.55,29.53,5.783
13,59.174,20.09,19.62,23.7,21.38,20.9,23.29,0.519
184,63.15,25.86,24.28,32.63,26.04,27.45,30.92,7.175
82,64.606,24.51,22.05,29.75,24.44,24.85,28.32,3.236
190,62.93,25.89,24.37,32.83,26.11,27.63,31.07,7.407
185,63.766,25.87,24.28,32.68,26.04,27.53,30.95,7.213
45,68.936,22.21,20.63,27.57,22.96,22.71,26.46,1.755
112,42.778,26.07,22.67,28.45,24.54,25.7,27.82,4.391
103,43.438,25.9,22.52,28.68,24.5,25.52,27.93,4.044
36,67.476,21.56,20.31,26.71,22.57,22.13,25.75,1.407
168,62.0,26.38,23.93,32.06,25.79,27.13,30.45,6.556
193,65.16,25.89,24.42,32.88,26.15,27.7,31.14,7.523
160,63.642,26.44,23.75,31.7,25.6,26.9,30.11,6.246
116,42.67,26.43,22.72,28.38,24.62,25.8,27.8,4.545
127,52.99,26.23,22.86,29.13,24.61,25.93,28.21,4.971
204,64.388,25.63,24.55,33.11,26.28,27.88,31.36,7.948
122,44.244,26.61,22.8,28.55,24.6,25.87,27.95,4.778
180,64.646,25.92,24.2,32.5,26.0,27.37,30.81,7.02
75,70.2,24.17,21.79,29.78,24.14,24.37,28.36,2.914
21,65.582,20.62,19.85,24.94,21.86,21.35,24.29,0.828
91,49.414,25.21,22.29,29.12,24.48,25.2,28.18,3.582
159,64.062,26.43,23.72,31.63,25.59,26.86,30.07,6.208
2,49.576,19.28,19.3,21.57,20.56,20.38,21.57,0.094
70,68.762,23.87,21.64,29.51,23.95,24.11,28.1,2.721
85,58.418,24.71,22.14,29.5,24.46,24.93,28.27,3.351
